uid,gender,score,is_habit_drink,is_habit_smoke,is_subscribed,A,B,C,D,E
81,M,170,2,2,0,22.0,2.0,24.0,51.0,36.0
82,M,218,0,0,0,10.0,22.0,0.0,2.0,44.0
83,M,108,2,0,0,8.0,2.0,10.0,22.0,44.0
84,M,118,0,0,0,1.0,8.0,10.0,44.0,44.0
85,M,214,2,0,0,1.0,21.0,9.0,14.0,19.0
86,M,102,0,0,0,1.0,8.0,10.0,44.0,44.0
87,M,195,2,0,0,28.0,34.0,56.0,31.0,44.0
88,M,131,2,2,0,30.0,46.0,23.0,21.0,2.0
89,M,140,0,0,0,1.0,45.0,47.0,28.0,20.0
0,F,147,0,0,0,1.0,8.0,10.0,44.0,44.0
1,F,260,2,1,0,10.0,56.0,68.0,6.0,53.0
10,F,224,2,2,0,1.0,8.0,10.0,44.0,44.0
101,F,230,0,0,0,10.0,34.0,58.0,15.0,16.0
102,F,123,3,3,1,1.0,8.0,10.0,44.0,44.0
103,F,242,2,1,0,1.0,8.0,10.0,44.0,44.0
104,F,278,2,2,0,3.0,8.0,10.0,44.0,44.0
105,F,118,2,1,0,3.0,22.0,10.0,15.0,70.0
106,F,163,1,0,0,14.0,24.0,10.0,31.0,19.0
107,F,31,0,0,0,21.0,2.0,18.0,28.0,44.0
108,F,51,2,2,0,11.0,53.0,51.0,15.0,70.0
109,A,56,3,3,1,1.0,8.0,10.0,44.0,44.0
111,F,117,0,0,0,10.0,41.0,73.0,48.0,45.0
113,M,153,0,0,0,2.0,10.0,28.0,63.0,44.0
114,F,225,2,2,0,8.0,68.0,49.0,15.0,44.0
115,F,87,2,1,0,1.0,8.0,10.0,44.0,44.0
116,F,39,0,0,0,15.0,53.0,51.0,44.0,14.0
117,F,178,1,0,0,1.0,21.0,20.0,15.0,18.0
119,F,142,2,1,0,0.0,21.0,22.0,10.0,46.0
12,F,375,0,0,0,31.0,40.0,24.0,14.0,23.0
120,F,214,1,1,0,1.0,8.0,5.0,22.0,10.0
121,F,127,2,1,0,1.0,8.0,10.0,44.0,44.0
